FileID,SpeakerID,DeviceID,Distance,TextLength
6096a7ff774af47b0d5d690b245b1e73,277,mic,5,10
0d5e35247d2681c78d6c1f84e53421fc,277,mic,0.25,8
3a96c836b4d1284156a53aadea50c306,277,mic,1,11
861a8ca6392e8fe220c472521f1f884b,277,android,5,3
516cc0c321d2b5bfdd44ef847006400c,277,ios,1,3
d218ac16059ae56b25e0c05d6beb4744,277,mic,5,6
3881ddb74eee33f1839c2f3cfa496cd3,277,ios,0.25,9
860de3adcd801f61fbd691adfb501d6d,277,android,5,16
f6164c0b4b27d142c6e08e3f8a0766cd,277,android,5,20
be8edcdf33affd91504b48a976aecacf,277,mic,5,10
448e20d15377125a4631dca3a67c19bd,277,mic,5,11
34e397d8ad74e7fea2d5466410cf090c,277,mic,0.25,19
0dd2a785f21ee353aa48f907ca14b3b2,277,mic,5,5
eaa5b3b21b3786b48ce383cecc69ac09,277,ios,1,4
b818bddbf447ef7c46704af50daca28d,277,ios,1,4
2e5ef28268e7603f053c94f5a60e7f5c,277,android,1,4
53cfab89ed3550d49b2a101071741227,277,ios,5,8
98003f8e22e95501163710550e4a7e6e,277,mic,5,7
0ba8d6db61bbe7443dfbffcccf7667b8,277,mic,1,4
d23dd9c045cadadd2b4e23e3253469b4,277,ios,1,10
b992088e113a598fe148cbe00713e07e,277,android,5,16
e333928df15d9d08194da6a43dc9ef9d,277,ios,0.25,3
1b8f023e8bb3d4402f9ae02ef7305c79,277,mic,1,4
dc93a98d6bac073818ca792d513a9718,277,ios,5,10
bd6c700a542e268b1cd094ad3cf68f23,277,android,0.25,8
72f44bc7643c0ed6a9495f5e55f3a2c3,277,mic,5,15
645b8889b23126e50458316fb261cab9,277,ios,0.25,4
9ad0ca92d54d7aacd770650af74443d7,277,ios,0.25,5
550013bf883a69d0e08548280483cb1f,277,ios,5,10
fb89b700ec15a0b6e49c403fdc6686b0,277,android,5,12
90197e1cd5e54a31e33f4e9aa235342e,277,ios,1,5
d96a6c9b093d69b1d127bd169c73b9b8,277,ios,0.25,4
cb340985e5decef5c8cc8815790f7f6c,277,ios,1,4
a86766735d25fce5b5023ec5c98d4dd9,277,ios,1,4
28655ea034fad2b4b10035620c81e3b6,277,mic,1,5
d188006d070fd32c83d391b058c7f004,277,mic,0.25,13
8c98f80d3d8a37e4db1cb79ac75a7096,277,android,1,4
638abbddbdd15f49c96d43cfd4d0f003,277,android,5,14
55f785137d241035dd1af3af19d7956e,277,android,0.25,11
01e0e6105a74d7fc083d63e8848b516a,277,mic,0.25,12
1dc989da80728f88eaaa294428c92de5,277,android,5,4
0bb1f1de908fd3b724327109ca66042a,277,ios,1,4
a08aa163077399bc466703d89c5d8ffb,277,mic,1,13
210288f8f9e7d08edba393e24f4e4370,277,mic,5,27
6aeee919ffbf2ecae0251f11d0d0d63f,277,android,5,4
7208acb8a0552462494c739774d53fab,277,ios,5,4
be70df2e91eb462778b25e921086db75,277,android,5,8
7d992a666a323129d2591c3cd0080f07,277,ios,0.25,13
2f6cb8548c47729dfc7701f857e5faa0,277,ios,1,7
0d0173e63775d66463b13b827ff6a178,277,mic,5,11
22459e2f6a8a2113a482cdf39bddfa92,277,android,0.25,5
1547241ddd29f981d275d8486da6d9dc,277,android,0.25,5
31ca88f6cb63c3eeee5f0e587875d9a4,277,mic,0.25,24
83436291f743c7222bd3da1e8c90300d,277,mic,5,6
ce5ac3fdd82b520c7b40dc868133ed29,277,mic,1,15
87a2ab2c58ed06c52af25c7db7567a5c,277,android,1,3
58fc40df0052e5cff86d9c8f348f86ec,277,mic,1,7
6546966b220e4832ff7983ec39b34a9e,277,ios,0.25,6
da8af520a7a699e1f84035625795d73c,277,android,5,6
98ce272f68d8499c7a3897aaacec5d42,277,ios,1,14
426e65f56c0c25bebb1b1e5580e4d738,277,android,1,2
53fcd0137837d6404240b3e561dc5e12,277,android,0.25,4
d17e63b971d2588ff0bb590060fecda4,277,ios,1,4
debf7d95d9d9f1a678261e8a0666682f,277,android,5,4
985e5da364a9674e69712687bb5a4bf0,277,android,1,7
7bb49cf75ce9cb60d43391255cbbb59a,277,ios,5,12
0fc606fdfddf258599c91d7f4edc02a6,277,android,1,19
3ef159afa09f2033bcf4b983f6c5fc9c,277,mic,1,16
b4c840b0ad67e4afce23789dc4b2e901,277,android,1,13
fd3b2bb2a4f6fa4b4a09e8ff8adb45eb,277,ios,5,4
31d44f13092047d0b294c28b98ba3d74,277,ios,1,8
25b685d1ecd561483ef3a515c5ad9fd0,277,ios,1,4
8cb2d437aacf90e9e68872eb1f494e46,277,android,1,11
81b15df669d24b5d0152a9b8bd2ed6c1,277,mic,1,10
0e2850109bee24a8519cc2a204281692,277,android,5,4
0bc2cb9234c316b63fbc43838a8adf68,277,ios,0.25,15
b01b8c4ae3b5bfcdbc8d4d20316d4063,277,mic,0.25,6
1314e502a1d890fec4db3d49413b2800,277,android,5,13
2b472f16c6e0dff957fd83c1dba996b0,277,android,1,4
ed1e097c804bfffc9cd1ebb2937cd9f6,277,mic,0.25,5
66bfc9bad5c974189667fbb8ab7b1d02,277,android,0.25,5
fec599d1f8057f87a2830eba4c89c0fd,277,android,0.25,8
e1b3c34b8675d19c691b6c5f4ef4782a,277,android,1,3
eb934dcc9711e2f7ef8d873327ea78b4,277,ios,5,5
33a73331bc4cfd224b9edf32de50150d,277,mic,0.25,26
8a1837f6d05fe23bec95d86fc8612aaa,277,ios,0.25,10
0d704488f3428a2e171eeecd30afcfbf,277,android,1,5
d9f75756aace236731d9946ff124fc7b,277,ios,0.25,9
a50418c905b052103cb5d272e5709036,277,ios,5,7
9080574fedaee8edb9df97371b4815ed,277,ios,0.25,12
a6a2cffa82b3b1a276a10b2d529aacdf,277,mic,1,9
9ef485a124de7dc2252792a2925e1a71,277,mic,1,5
ae16a09909e997fa300146c8f22df84b,277,android,0.25,4
2f6289bdb1c871030f03431a1ef2ef5a,277,android,5,6
fd5424f9e9af371493bc869fa999123f,277,ios,1,14
e68679ca710c6f04466a6961b3af3662,277,ios,1,4
5235fd219e504e248cb113e42c76a5b7,277,mic,5,5
f2f0e130f2a1351a1aa4d5c4e8927e98,277,mic,0.25,4
8061e91f52021378cef3ad64cb7e06d9,277,android,5,4
c353fadfba83a27d1cc1b0091e75b860,277,mic,0.25,10
57a6752041da10595c1000df67e7589d,277,mic,0.25,4
aac6549f91319016d04b949370213ce1,277,android,5,11
e43b02fbbc2625d5c77ea37a9aef6567,277,android,5,6
00d90a7b34189350fb5acdac8a467888,277,android,1,8
49ce3635b9ba33b5619da40723314197,277,android,1,11
55ba19e22c5f515630f7e097c07078ae,277,mic,1,5
cc0b4fa30f48ee3c1cd5c7d445b4ce59,277,mic,0.25,4
790d2fdda9661fc0fee6a87e1f204f8d,277,android,1,19
5cfa0b957bdc880595b914e7c652762e,277,ios,5,10
b01257b82860df8657eeced663f8055e,277,mic,5,16
034147add20a801562484f5c2cc52806,277,mic,5,5
de69c5993932544898c1e71368273382,277,android,5,5
f206eb3b74cf575d6e2122187b342ba6,277,mic,5,22
c8c8be59b2a0d077b31c20d36ac28a1e,277,ios,1,4
1c23ab779027620e96b94e08241c5ccd,277,mic,1,19
598a653009a106597d7e483456814e5b,277,android,5,16
1c913486d3fc38bbe386b3f824a02bb5,277,mic,5,11
5ab74bad36eb9489a5e9e5257f9fe2fa,277,ios,0.25,6
f9d1b5e5058182d11d5261d70d4cc3ff,277,ios,5,4
9741a462f3d19307f1e24715685052ef,277,mic,5,4
2b4584a6dfbf8fac8548958391c9e7d7,277,ios,0.25,5
005c0f32c599783596705839c31b9594,277,ios,5,14
c1bb6a93a57109fb162f75301d9bc580,277,mic,5,3
3dc3cecb38601cac0acfc75fc6d442bb,277,ios,1,6
a5d3e2bbf460bab0fefdf712fe377dac,277,android,0.25,13
43337e9d91a30c2572a12e7ac4f901cb,277,mic,5,6
c4786671222a37cb127a5c7157b0603d,277,ios,1,10
6ce59e89a667db9f312c42ae44b377c0,277,android,0.25,4
ef8956b997283664a178bd8fe0a5e803,277,mic,1,4
ce89d324a296d64fe08a459dbf8c9e9c,277,ios,1,4
619a7d6079bc3e60ae9f3f03f8a9431a,277,ios,0.25,5
4b19e290f9fc14eff57121369d224967,277,ios,1,3
6876bdbaa047b98c363075332bbfd89c,277,android,1,4
1100008ac6955c5e04f5ad995ac24392,277,ios,1,11
ddc0e272b793ff93783683a835bba243,277,mic,0.25,5
c5767532d4c92ea59177d717ffc5c425,277,android,5,6
8af3ace1410cbd31cac12cdcf66a8ee4,277,mic,1,12
e685951b282cb329c2fe870c4943dfb3,277,android,5,7
821de3ef5f8ec7f284a27f307f3fc98f,277,ios,5,4
d32bef1aad4438d66ba23f2b790297f2,277,android,1,4
c77e641719f3731f1efab1e37ee09ba6,277,mic,0.25,6
ff5b6c6d0dbe285c0904a6717b330a41,277,android,5,7
8b5cd7f0a84d2967d9ac2fcba2ab4211,277,android,5,4
5be036af01b9778df168edc221085cf8,277,ios,5,8
ee94ccc30aa92709620a16335d45f85e,277,android,5,14
4a7439e2feaee3b24ac768bdd315ee07,277,android,5,10
09e07dcd315ab98578aaf546e93d31cd,277,android,0.25,4
98c878457c3efa690ea32e01f3035082,277,android,1,11
63dba9588204b93e1a631ab583467a9e,277,android,1,10
d7886e7282ed0dff735dbfb9a23fe949,277,android,1,4
7eadc43d2194d97e1bb88a906173a09c,277,android,1,16
7d67729565fed7b4b1c43e3be5165d25,277,mic,1,12
2c1f2aa427294b0de2f8c533405e5d32,277,mic,0.25,4
05ee521bccf9809070456c6fd69d2eff,277,android,0.25,26
db44059e002da1def511a1df49d317ea,277,mic,1,10
65c39c6e104b533c7f3cda2b62b3a7af,277,mic,1,6
546059d2c093c346f740d93ad28f931e,277,android,5,12
cb583c78d491ddf49dcdb0e2219a9b77,277,android,0.25,4
2ab5291ea7a237f14af7e249f1c299a0,277,mic,1,4
dcf7b8133f720ae2dc23d33d535aabe8,277,android,5,5
a7156a182bd3b0f30f96bc6faaa1eb64,277,android,1,5
344fc9995642e20c673581e33ea15f23,277,ios,5,19
